"CustomerID","Restaurant","RKDate","RegionName","BrandsNames","DishCategoryName","Quantity","SummBasic","SummAfterPointsUsage"
2898197,391,"2017-07-16","Москва и Московская область ","TGI FRIDAYS","NON ALCOHOL",2,2,2
2903215,43,"2015-04-07","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2748887,43,"2015-05-22","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2862077,46,"2015-03-05","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2862077,46,"2015-03-11","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2862077,46,"2015-03-13","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2862077,46,"2015-04-20","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2862077,46,"2015-05-13","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2801997,46,"2015-05-20","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2862077,46,"2015-05-28","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,3.21
2862077,46,"2015-06-01","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2777708,47,"2015-02-22","Москва и Московская область ","IL Патио,Планета Суши","NON ALCOHOL",1,5,5
2807046,47,"2015-02-26","Москва и Московская область ","IL Патио,Планета Суши","NON ALCOHOL",1,5,5
2764143,49,"2016-08-03","Москва и Московская область ","IL Патио","FOOD",1,5,2.5
2912639,56,"2015-03-31","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2903056,56,"2015-05-22","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2750037,56,"2015-06-04","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,2.5
2750089,62,"2015-02-24","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,5
2813925,62,"2015-02-27","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,5
2771931,62,"2015-03-04","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,5
2872133,62,"2015-03-07","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,5
2752323,62,"2015-04-03","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,5
2884096,62,"2015-04-24","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,5
2872133,62,"2015-05-05","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,2.55
2884096,62,"2015-05-06","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,5
2827596,62,"2015-05-16","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,2.59
2752323,62,"2015-05-20","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,2.52
2750555,62,"2015-05-30","Москва и Московская область ","Планета Мировое Кафе","NON ALCOHOL",1,5,3.05
2894768,93,"2015-05-19","Москва и Московская область ","IL Патио","NON ALCOHOL",1,5,5
2769660,116,"2015-08-26","Москва и Московская область ","IL Патио,Планета Суши","FOOD",1,5,5
2742153,116,"2015-11-29","Москва и Московская область ","IL Патио,Планета Суши","FOOD",1,5,4.14
2888932,125,"2015-03-14","Москва и Московская область ","IL Патио,Планета Суши","NON ALCOHOL",1,5,5
2763416,139,"2015-07-30","Москва и Московская область ","IL Патио,Шикари","FOOD",1,5,5
2822866,139,"2015-10-06","Москва и Московская область ","IL Патио,Шикари","FOOD",1,5,2.83
2740319,193,"2015-07-28","Екатеринбург","Планета Суши","FOOD",1,5,5
2741882,235,"2015-03-19","Москва и Московская область ","IL Патио","INSTRUCTION",1,5,5
